resId;en;ru
DocStr7142;Метаинформация таблицы, передаваемой под DDE. Через свойство {0} задается, какой заголовок в Quik-e будет иметь таблица. Например, для таблицы Инструменты по умолчанию в Quik-е используется название 'Таблица текущих значений параметров', что необходимо переименовать в Инструменты, или же сделать наоборот в самой программе: {1}{2};Метаинформация таблицы, передаваемой под DDE. Через свойство {0} задается, какой заголовок в Quik-e будет иметь таблица. Например, для таблицы Инструменты по умолчанию в Quik-е используется название 'Таблица текущих значений параметров', что необходимо переименовать в Инструменты, или же сделать наоборот в самой программе: {1}{2}
DocStr7146;Заголовок таблицы в Quik-e;Заголовок таблицы в Quik-e
DocStr7147;Класс таблицы в Quik-е;Класс таблицы в Quik-е
DocStr7148;Информация о колонках;Информация о колонках
DocStr7149;Если поменялся порядок колонок в Quik-е, необходимо поменять колонки и в программе через {0}. Новое значение индекса колонки присваивается следующим образом: {1};Если поменялся порядок колонок в Quik-е, необходимо поменять колонки и в программе через {0}. Новое значение индекса колонки присваивается следующим образом: {1}
DocStr7150;Метаинформация колонки таблицы, передаваемой под DDE;Метаинформация колонки таблицы, передаваемой под DDE
DocStr7151;Имя колонки;Имя колонки
DocStr7152;Тип данных в колонке;Тип данных в колонке
DocStr7156;Является ли колонка обязательной;Является ли колонка обязательной
DocStr7157;Коллекция метаданных о колонках таблиц, экспортируемых через DDE;Коллекция метаданных о колонках таблиц, экспортируемых через DDE
DocStr7158;Добавление колонки;Добавление колонки
DocStr7159;Удаление колонки;Удаление колонки
DocStr7160;Вставка колонки;Вставка колонки
DocStr7161;Удаление всех колонок;Удаление всех колонок
DocStr7162;Колонки таблицы всех сделок;Колонки таблицы всех сделок
DocStr7163;Направление операции, приведшей к сделке;Направление операции, приведшей к сделке
DocStr7164;Окно DDE экспорта;Окно DDE экспорта
DocStr7165;Проверить на эквивалентность с другим окном;Проверить на эквивалентность с другим окном
DocStr7166;Другое окно;Другое окно
DocStr7167;{0}, если окна эквивалентны. Иначе, {1};{0}, если окна эквивалентны. Иначе, {1}
DocStr7168;Получить хэш-код;Получить хэш-код
DocStr7169;Описание окна DDE;Описание окна DDE
DocStr7170;WPF-конвертер для {0}, который преобразует запись из {1} в строку для визуального отображения на форме;WPF-конвертер для {0}, который преобразует запись из {1} в строку для визуального отображения на форме
DocStr7171;Сконвертировать запись в строку;Сконвертировать запись в строку
DocStr7173;The value produced by the binding source;The value produced by the binding source
DocStr7174;The type of the binding target property;The type of the binding target property
DocStr7175;The converter parameter to use;The converter parameter to use
DocStr7176;The culture to use in the converter;The culture to use in the converter
DocStr7177;Сконвертировать запись из строки;Сконвертировать запись из строки
DocStr7178;Сконвертированная запись;Сконвертированная запись
DocStr7179;Базовый адаптер сообщений для Quik;Базовый адаптер сообщений для Quik
DocStr7180;Маркет-дата адаптер сообщений для Quik, работающий через протокол DDE;Маркет-дата адаптер сообщений для Quik, работающий через протокол DDE
DocStr7181;"Соответствия кодов инструмента РТС-Стандарт из таблицы ""Позиции по деривативам"" кодам из таблицы ""Инструменты""";"Соответствия кодов инструмента РТС-Стандарт из таблицы ""Позиции по деривативам"" кодам из таблицы ""Инструменты"""
DocStr7182;"Код из таблицы ""Позиции по деривативам"" указывается без последних двух цифр";"Код из таблицы ""Позиции по деривативам"" указывается без последних двух цифр"
DocStr7183;"Получить соответствие кода инструмента РТС-стандарт из таблицы ""Позиции по деривативам"" коду из таблицы ""Инструменты""";"Получить соответствие кода инструмента РТС-стандарт из таблицы ""Позиции по деривативам"" коду из таблицы ""Инструменты"""
DocStr7184;"Имя инструмента из таблицы ""Позиции по деривативам""";"Имя инструмента из таблицы ""Позиции по деривативам"""
DocStr7185;Является ли инструмент известным инструментом с рынка РТС-Стандарт;Является ли инструмент известным инструментом с рынка РТС-Стандарт
DocStr7186;"Код инструмента из таблицы ""Инструменты""";"Код инструмента из таблицы ""Инструменты"""
DocStr7187;Список произвольных таблиц;Список произвольных таблиц
DocStr7188;Обработать поступающие DDE данные (событие вызывается до всех остальных событий {0});Обработать поступающие DDE данные (событие вызывается до всех остальных событий {0})
DocStr7189;Обработать неизвестные DDE данные;Обработать неизвестные DDE данные
DocStr7190;Обработать известные DDE данные;Обработать известные DDE данные
DocStr7191;Обработать новые строчки таблицы, зарегистрированной через {0};Обработать новые строчки таблицы, зарегистрированной через {0}
DocStr7192;Обработать изменения строчек таблицы, зарегистрированной через {0};Обработать изменения строчек таблицы, зарегистрированной через {0}
DocStr7193;Использовать в экспорте таблицу {0}. По умолчанию не используется;Использовать в экспорте таблицу {0}. По умолчанию не используется
DocStr7194;Название DDE сервера. По умолчанию равно STOCKSHARP;Название DDE сервера. По умолчанию равно STOCKSHARP
DocStr7195;Таблицы, для которых будет запущен экспорт данных;Таблицы, для которых будет запущен экспорт данных
DocStr7196;Условия стоп-цены по отношению к цене последней сделки инструмента;Условия стоп-цены по отношению к цене последней сделки инструмента
DocStr7197;Типы условий заявок, специфичных для {0};Типы условий заявок, специфичных для {0}
DocStr7198;Две заявки по одному и тому же инструменту, одинаковые по направленности и объему. Первая заявка типа «Стоп-лимит», вторая – лимитированная заявка. При исполнении одной из заявок вторая снимается;Две заявки по одному и тому же инструменту, одинаковые по направленности и объему. Первая заявка типа «Стоп-лимит», вторая – лимитированная заявка. При исполнении одной из заявок вторая снимается
DocStr7199;Заявка типа «Стоп-лимит», условие стоп-цены которой проверяется по одному инструменту, а в исполняемой лимитированной заявке указывается другой инструмент;Заявка типа «Стоп-лимит», условие стоп-цены которой проверяется по одному инструменту, а в исполняемой лимитированной заявке указывается другой инструмент
DocStr7200;Стоп-заявка, порождающая при исполнении лимитированную заявку;Стоп-заявка, порождающая при исполнении лимитированную заявку
DocStr7201;Заявка с условием вида «исполнить при ухудшении цены на заданную величину от достигнутого максимума (на продажу) или минимума (на покупку)»;Заявка с условием вида «исполнить при ухудшении цены на заданную величину от достигнутого максимума (на продажу) или минимума (на покупку)»
DocStr7202;"Это заявка, имеющая два условия: «тэйк-профит», если цена последней сделки после достигнутого максимума ухудшится на величину, превышающую установленный «отступ»; «стоп-лимит», если цена последней сделки ухудшится до указанного уровня";"Это заявка, имеющая два условия: «тэйк-профит», если цена последней сделки после достигнутого максимума ухудшится на величину, превышающую установленный «отступ»; «стоп-лимит», если цена последней сделки ухудшится до указанного уровня"
DocStr7203;Результат исполнения заявки, специфичной для {0};Результат исполнения заявки, специфичной для {0}
DocStr7204;Заявка принята торговой системой;Заявка принята торговой системой
DocStr7205;Заявка отвергнута торговой системой;Заявка отвергнута торговой системой
DocStr7206;Заявка снята пользователем;Заявка снята пользователем
DocStr7207;Недостаточно средств клиента для выполнения заявки;Недостаточно средств клиента для выполнения заявки
DocStr7208;Лимитированная заявка, связанная со стоп-заявкой, была снята пользователем;Лимитированная заявка, связанная со стоп-заявкой, была снята пользователем
DocStr7209;Торговой системой была удовлетворена лимитированная заявка, связанная со стоп-заявкой;Торговой системой была удовлетворена лимитированная заявка, связанная со стоп-заявкой
DocStr7210;Условие активации не наступило. Параметр заявок типов «Тэйк-профит» и «по исполнению»;Условие активации не наступило. Параметр заявок типов «Тэйк-профит» и «по исполнению»
DocStr7211;Условие активации наступило, начат расчет минимума/максимума цены. Параметр заявок типов «Тэйк-профит» и «Тэйк-профит по заявке»;Условие активации наступило, начат расчет минимума/максимума цены. Параметр заявок типов «Тэйк-профит» и «Тэйк-профит по заявке»
DocStr7212;Заявка активирована на неполный объем в результате частичного исполнения заявки-условия, начат расчет минимума/максимума цены. Параметр заявок типа «Тэйк профит по заявке» с включенным признаком «Частичное исполнение заявки учитывается»;Заявка активирована на неполный объем в результате частичного исполнения заявки-условия, начат расчет минимума/максимума цены. Параметр заявок типа «Тэйк профит по заявке» с включенным признаком «Частичное исполнение заявки учитывается»
DocStr7213;Значение {0} означает, что условие стоп-заявки ещё не сработало - стоп-заявка активна;Значение {0} означает, что условие стоп-заявки ещё не сработало - стоп-заявка активна
DocStr7214;Стоп цена, которая задает условие срабатывания стоп-заявки. Например, для заявок типа «Стоп-цена по другой бумаге» условие имеет вид: «Если цена <=» (или «>=») и означает исполнение заявки, если цена последней сделки по другому инструменту пересечет указанное значение;Стоп цена, которая задает условие срабатывания стоп-заявки. Например, для заявок типа «Стоп-цена по другой бумаге» условие имеет вид: «Если цена <=» (или «>=») и означает исполнение заявки, если цена последней сделки по другому инструменту пересечет указанное значение
DocStr7215;Стоп-лимит цена. Аналогична {0}, но используется только при типе заявки «Тэйк-профит и стоп-лимит»;Стоп-лимит цена. Аналогична {0}, но используется только при типе заявки «Тэйк-профит и стоп-лимит»
DocStr7216;Время проверки условий заявки только в течение заданного периода времени (если значение {0}, то не проверять). Используется для заявок типов «Тэйк-профит и стоп-лимит» и «Тэйк-профит и стоп-лимит по заявке»;Время проверки условий заявки только в течение заданного периода времени (если значение {0}, то не проверять). Используется для заявок типов «Тэйк-профит и стоп-лимит» и «Тэйк-профит и стоп-лимит по заявке»
DocStr7217;Идентификатор заявки-условия;Идентификатор заявки-условия
DocStr7219;Частичное исполнение заявки учитывается. Заявка «по исполнению» будет активирована при частичном исполнении заявки-условия {0}. Если {1} (или {2}), то заявка «по исполнению» активируется только при полном исполнении заявки-условия {3};Частичное исполнение заявки учитывается. Заявка «по исполнению» будет активирована при частичном исполнении заявки-условия {0}. Если {1} (или {2}), то заявка «по исполнению» активируется только при полном исполнении заявки-условия {3}
DocStr7220;Брать исполненный объем заявки в качестве количества выставляемой стоп-заявки. В качестве количества бумаг в заявке «по исполнению» принимается исполненный объем заявки-условия {0}. Если {1} (или {2}), то объем заявки указывается явно в свойство {3};Брать исполненный объем заявки в качестве количества выставляемой стоп-заявки. В качестве количества бумаг в заявке «по исполнению» принимается исполненный объем заявки-условия {0}. Если {1} (или {2}), то объем заявки указывается явно в свойство {3}
DocStr7221;Реализация интерфейса {0}, предоставляющая подключение к терминалу Quik;Реализация интерфейса {0}, предоставляющая подключение к терминалу Quik
DocStr7222;Адрес по умолчанию к LUA FIX серверу. Равен localhost:5001;Адрес по умолчанию к LUA FIX серверу. Равен localhost:5001
DocStr7223;Запустить экспорт данных из торговой системы в программу для произвольной таблицы, зарегистрированной в {0};Запустить экспорт данных из торговой системы в программу для произвольной таблицы, зарегистрированной в {0}
DocStr7224;Остановить экспорт данных из торговой системы в программу для произвольной таблицы, зарегистрированной в {0};Остановить экспорт данных из торговой системы в программу для произвольной таблицы, зарегистрированной в {0}
DocStr7225;Запустить экспорт данных таблицы из торговой системы в программу;Запустить экспорт данных таблицы из торговой системы в программу
DocStr7226;Название таблицы, для которой нужно запустить экспорт;Название таблицы, для которой нужно запустить экспорт
DocStr7227;Остановить экспорт данных таблицы из торговой системы в программу;Остановить экспорт данных таблицы из торговой системы в программу
DocStr7228;Получить транзакцию по идентификатору;Получить транзакцию по идентификатору
DocStr7230;Поддерживает ли Quik Единую Денежную Позицию;Поддерживает ли Quik Единую Денежную Позицию
DocStr7231;{0} по умолчанию;{0} по умолчанию
DocStr7232;Имя dll-файла, содержащее Quik API. По умолчанию равно TRANS2QUIK.DLL;Имя dll-файла, содержащее Quik API. По умолчанию равно TRANS2QUIK.DLL
DocStr7233;Путь к директории, где установлен Quik (или путь к файлу info.exe). По умолчанию равно {0};Путь к директории, где установлен Quik (или путь к файлу info.exe). По умолчанию равно {0}
DocStr7234;Адрес сервера для Lua подключения;Адрес сервера для Lua подключения
DocStr7235;Идентификатор пользователя для Lua подключения;Идентификатор пользователя для Lua подключения
DocStr7236;Пароль пользователя для Lua подключения;Пароль пользователя для Lua подключения
DocStr7237;Вспомогательный класс для управления терминалом Quik;Вспомогательный класс для управления терминалом Quik
DocStr7238;Асинхронный режим. Если {0}, то все транзакции, такие как {1} или {2} будут отправляться в асинхронном режиме;Асинхронный режим. Если {0}, то все транзакции, такие как {1} или {2} будут отправляться в асинхронном режиме
DocStr7239;Обработать новые строчки таблицы Инструменты (изменения);Обработать новые строчки таблицы Инструменты (изменения)
DocStr7240;Отформатировать транзакцию (добавить, удалить или заменить параметры) перед тем, как она будет отправлена в Quik;Отформатировать транзакцию (добавить, удалить или заменить параметры) перед тем, как она будет отправлена в Quik
DocStr7241;Таблицы, для которых будет запущен экспорт данных по DDE;Таблицы, для которых будет запущен экспорт данных по DDE
DocStr7242;Вспомогательный класс для управления окнами Quik терминала;Вспомогательный класс для управления окнами Quik терминала
DocStr7243;Получить физическое расположение на диске к терминалу {0};Получить физическое расположение на диске к терминалу {0}
DocStr7244;Физическое расположение на диске;Физическое расположение на диске
DocStr7245;Получить список запущенных терминалов Quik;Получить список запущенных терминалов Quik
DocStr7246;Бросать ли исключение при получении недостаточной информации о процессе Quik. Если значение установлено в {0}, то терминал с такой информацией исключается из результирующего списка. По умолчанию значение включено;Бросать ли исключение при получении недостаточной информации о процессе Quik. Если значение установлено в {0}, то терминал с такой информацией исключается из результирующего списка. По умолчанию значение включено
DocStr7247;Список запущенных терминалов;Список запущенных терминалов
DocStr7248;Получить запущенный терминал Quik по указанному пути;Получить запущенный терминал Quik по указанному пути
DocStr7249;Путь, где установлен Quik;Путь, где установлен Quik
DocStr7250;Информация о терминале;Информация о терминале
DocStr7251;Запустить Quik терминал, установленный по указанному пути {0};Запустить Quik терминал, установленный по указанному пути {0}
DocStr7252;Метод заканчивает работу при появлении окна с логином. Если окно не появилось в течении 6 минут, то будет выброшено исключение;Метод заканчивает работу при появлении окна с логином. Если окно не появилось в течении 6 минут, то будет выброшено исключение
DocStr7253;Подключить Quik к серверу торгов с использованием сертификата;Подключить Quik к серверу торгов с использованием сертификата
DocStr7254;Путь к сертификату;Путь к сертификату
DocStr7255;Пароль. Если значение не задано, то пароль не используется при подключении;Пароль. Если значение не задано, то пароль не используется при подключении
DocStr7256;Адрес сервера Quik. Если значение равно {0}, то используется адрес по умолчанию;Адрес сервера Quik. Если значение равно {0}, то используется адрес по умолчанию
DocStr7257;Подключить Quik к серверу торгов;Подключить Quik к серверу торгов
DocStr7258;Отключить Quik от сервера торгов;Отключить Quik от сервера торгов
DocStr7259;Выключить Quik;Выключить Quik
DocStr7260;Получить список счетов из окна управления счетами;Получить список счетов из окна управления счетами
DocStr7261;Список счетов;Список счетов
DocStr7262;Запущен ли экспорт DDE для переданной таблицы;Запущен ли экспорт DDE для переданной таблицы
DocStr7263;Таблица, для которой необходимо узнать, запущен ли экспорт;Таблица, для которой необходимо узнать, запущен ли экспорт
DocStr7264;{0}, если экспорт запущен, иначе, {1};{0}, если экспорт запущен, иначе, {1}
DocStr7265;Запущен ли экспорт данных через DDE для произвольной таблицы, зарегистрированной в {0};Запущен ли экспорт данных через DDE для произвольной таблицы, зарегистрированной в {0}
DocStr7266;Запущен ли экспорт DDE для таблицы с указанным заголовком;Запущен ли экспорт DDE для таблицы с указанным заголовком
DocStr7267;Название таблицы, для которой необходимо узнать, запущен ли экспорт;Название таблицы, для которой необходимо узнать, запущен ли экспорт
DocStr7268;Запущен ли экспорт DDE для стакана котировок по переданному инструменту;Запущен ли экспорт DDE для стакана котировок по переданному инструменту
DocStr7269;Инструмент, для которой необходимо узнать, запущен ли экспорт стакана;Инструмент, для которой необходимо узнать, запущен ли экспорт стакана
DocStr7270;Перезапустить экспорт DDE по всем таблицам, запущенных в данный момент;Перезапустить экспорт DDE по всем таблицам, запущенных в данный момент
DocStr7271;Проверить, открыто ли окно таблицы;Проверить, открыто ли окно таблицы
DocStr7272;Таблица, для которой необходимо проверить наличие открытого окна;Таблица, для которой необходимо проверить наличие открытого окна
DocStr7273;{0}, если окно открыто, иначе, {1};{0}, если окно открыто, иначе, {1}
DocStr7274;Проверить, открыто ли окно по названию таблицы;Проверить, открыто ли окно по названию таблицы
DocStr7275;Название таблица, для которой необходимо проверить наличие открытого окна;Название таблица, для которой необходимо проверить наличие открытого окна
DocStr7276;Получить список сообщений из Окна сообщений Квика;Получить список сообщений из Окна сообщений Квика
DocStr7277;Список сообщений;Список сообщений
DocStr7278;Начать расчёт заново по открытой таблице;Начать расчёт заново по открытой таблице
DocStr7279;Описание DDE экспорта произвольной таблицы, для которой необходимо начать заново расчёт;Описание DDE экспорта произвольной таблицы, для которой необходимо начать заново расчёт
DocStr7280;Название таблицы, для которой необходимо начать заново расчёт;Название таблицы, для которой необходимо начать заново расчёт
DocStr7281;Проверить, открыто ли окно стакана для переданного инструмента;Проверить, открыто ли окно стакана для переданного инструмента
DocStr7282;Идентификатор инструмента, для которого необходимо проверить наличие окна стакана;Идентификатор инструмента, для которого необходимо проверить наличие окна стакана
DocStr7283;Проверить, содержит ли таблица {0} указанный инструмент;Проверить, содержит ли таблица {0} указанный инструмент
DocStr7284;{0}, если стакан можно открыть, иначе, {1};{0}, если стакан можно открыть, иначе, {1}
DocStr7285;Открыть окно стакана для переданного инструмента;Открыть окно стакана для переданного инструмента
DocStr7286;Идентификатор инструмента, для которого необходимо открыть окно стакана;Идентификатор инструмента, для которого необходимо открыть окно стакана
DocStr7287;Открыть таблицу Quik;Открыть таблицу Quik
DocStr7288;Таблица, для которой необходимо открыть Quik таблицу;Таблица, для которой необходимо открыть Quik таблицу
DocStr7289;Получить окно стакана по переданному инструменту;Получить окно стакана по переданному инструменту
DocStr7290;Идентификатор инструмента, для которого необходимо получить окно стакана;Идентификатор инструмента, для которого необходимо получить окно стакана
DocStr7291;Окно стакана;Окно стакана
DocStr7292;Остановить все активные DDE потоки;Остановить все активные DDE потоки
DocStr7293;Получить все ошибки настроек таблиц в Quik (несоответствие названий, отсутствие необходимых колонок и т.д.);Получить все ошибки настроек таблиц в Quik (несоответствие названий, отсутствие необходимых колонок и т.д.)
DocStr7294;Таблицы, для которых необходимо найти ошибки. Если не передается ни одна из таблиц, то проверятся будут все таблицы (инструменты, сделки, заявки, мои сделки и т.д.), в том числе и окна стаканов;Таблицы, для которых необходимо найти ошибки. Если не передается ни одна из таблиц, то проверятся будут все таблицы (инструменты, сделки, заявки, мои сделки и т.д.), в том числе и окна стаканов
DocStr7295;Ошибки настроек;Ошибки настроек
DocStr7296;Открыть окно DDE экспорта;Открыть окно DDE экспорта
DocStr7297;Окно Quik, для которого необходимо открыть DDE окно;Окно Quik, для которого необходимо открыть DDE окно
DocStr7298;Добавить новый инструмент в фильтр таблицы Инструменты;Добавить новый инструмент в фильтр таблицы Инструменты
DocStr7299;Данный метод работать только при включенном режиме {0};Данный метод работать только при включенном режиме {0}
DocStr7300;Название инструмента, по которому необходимо получать обновления;Название инструмента, по которому необходимо получать обновления
DocStr7301;Убрать инструмент из фильтра таблицы Инструменты;Убрать инструмент из фильтра таблицы Инструменты
DocStr7302;Название инструмента, по которому необходимо прекратить получать обновления;Название инструмента, по которому необходимо прекратить получать обновления
DocStr7303;Добавить новый инструмент в фильтр таблицы Все Сделки;Добавить новый инструмент в фильтр таблицы Все Сделки
DocStr7304;Название инструмента, по которому необходимо получать тиковые сделки;Название инструмента, по которому необходимо получать тиковые сделки
DocStr7305;Убрать инструмент из фильтра таблицы Все Сделки;Убрать инструмент из фильтра таблицы Все Сделки
DocStr7306;Название инструмента, по которому необходимо прекратить получать тиковые сделки;Название инструмента, по которому необходимо прекратить получать тиковые сделки
DocStr7307;Полный путь к директории, где установлен Quik;Полный путь к директории, где установлен Quik
DocStr7308;Полный путь к исполняемому файлу Quik;Полный путь к исполняемому файлу Quik
DocStr7309;Версия терминала;Версия терминала
DocStr7310;Запущен ли терминал;Запущен ли терминал
DocStr7311;Если терминал не запущен, то {0} был создан лишь по информации об установленной директории;Если терминал не запущен, то {0} был создан лишь по информации об установленной директории
DocStr7312;Информация о первом терминале из {0}. Если ни одного терминала не запущено, то будет возвращено значение {1};Информация о первом терминале из {0}. Если ни одного терминала не запущено, то будет возвращено значение {1}
DocStr7313;Получить список всех доступных адресов серверов Quik;Получить список всех доступных адресов серверов Quik
DocStr7314;Системная информация о процессе Quik;Системная информация о процессе Quik
DocStr7315;Системная информация о главном окне Quik;Системная информация о главном окне Quik
DocStr7316;Подключен ли терминал к торгам;Подключен ли терминал к торгам
DocStr7317;Получить время биржи из Quik окна. Свойство возвращает {0}, если соединение с биржей потеряно;Получить время биржи из Quik окна. Свойство возвращает {0}, если соединение с биржей потеряно
DocStr7318;"Заголовок окна экспорта через DDE в Quik-е. В русской версии окно имеет заголовок ""Вывод через DDE сервер"", что является значением по умолчанию";"Заголовок окна экспорта через DDE в Quik-е. В русской версии окно имеет заголовок ""Вывод через DDE сервер"", что является значением по умолчанию"
DocStr7319;"Заголовок окна редактирования таблицы в Quik-е. В русской версии окно имеет заголовок ""Редактирование таблицы"", что является значением по умолчанию";"Заголовок окна редактирования таблицы в Quik-е. В русской версии окно имеет заголовок ""Редактирование таблицы"", что является значением по умолчанию"
DocStr7320;"Заголовок окна редактирования таблицы в Quik-е. В русской версии окно имеет заголовок ""Выбор активных счетов и задание их очередности"", что является значением по умолчанию";"Заголовок окна редактирования таблицы в Quik-е. В русской версии окно имеет заголовок ""Выбор активных счетов и задание их очередности"", что является значением по умолчанию"
DocStr7321;Включить возможность настраивать в Quik фильтр таблицы Все Сделки через методы {0} и {1};Включить возможность настраивать в Quik фильтр таблицы Все Сделки через методы {0} и {1}
DocStr7322;Транзакционный адаптер сообщений для Quik, работающий через библиотеку Trans2Quik.dll;Транзакционный адаптер сообщений для Quik, работающий через библиотеку Trans2Quik.dll
DocStr7323;Зарегистрировать транзакцию;Зарегистрировать транзакцию
DocStr7324;По умолчанию используется асинхронный режим;По умолчанию используется асинхронный режим
DocStr7325;Типы транзакций;Типы транзакций
DocStr7326;Виды действий транзакций;Виды действий транзакций
DocStr7327;Переставить заявки на рынке FORTS;Переставить заявки на рынке FORTS
DocStr7328;Снять стоп-заявку;Снять стоп-заявку
DocStr7329;Снять заявку;Снять заявку
DocStr7330;Снять все стоп-заявки;Снять все стоп-заявки
DocStr7331;Снять все заявки из торговой системы;Снять все заявки из торговой системы
DocStr7332;Снять все заявки на рынке FORTS;Снять все заявки на рынке FORTS
DocStr7333;Новая заявка на внебиржевую сделку;Новая заявка на внебиржевую сделку
DocStr7334;Новая заявка на сделку РЕПО;Новая заявка на сделку РЕПО
